date,run_ts,commence,sport,away,home,market,side,point,price,units,units_reason,rec_type,grade,gap,tickets,money,num_bets,contrarian,steam,steam_delta,has_value,ev,fair,fair_mult,anchor,nb,pin_price,pin_opp,ex_back,ex_lay,ex_mid,mlb_gamePk,venue,day_night,double_header,probable_away,probable_away_id,probable_home,probable_home_id,wx_condition,wx_temp_f,wx_wind,roof,park_rf_approx,om_temp_f,om_wind_kph,om_wind_dir_deg,pin_age_min,bo_price,best_price,best_book,an_ml,probable_changed,probable_changed_post_log,kalshi_ticker,kalshi_bid,kalshi_ask,kalshi_n,kalshi_ev_taker,kalshi_ev_maker,poly_mid,poly_bid,poly_ask,poly_ev_mid,exec_best_venue,exec_best_ev,close_price,close_fair,close_anchor,close_point,close_ts,close_obs,close_line_moved,clv,clv_fair,clv_measured,shadow,shadow_kind,hours_to_game,result,void_reason,units_pl,model_version,event_id
2026-06-30,,,MLB,Los Angeles Angels,Seattle Mariners,Moneyline,Los Angeles Angels,,157,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,-11.38,,,,,,loss,,-1.5,,
2026-06-30,,,MLB,Chicago White Sox,Baltimore Orioles,Moneyline,Chicago White Sox,,128,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win,,1.28,,
2026-06-30,,,MLB,New York Mets,Toronto Blue Jays,Moneyline,New York Mets,,-102,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win,,0.98,,
2026-06-30,,,MLB,San Diego Padres,Chicago Cubs,Moneyline,San Diego Padres,,128,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loss,,-1.0,,
2026-07-02,,,MLB,Pittsburgh Pirates,Philadelphia Phillies,Moneyline,Pittsburgh Pirates,,112,1.0,,,A,24,,,,True,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,win,,1.12,2026-07-02.v9-ridgeseeker,
2026-07-03,,2026-07-04T01:40:00Z,MLB,Miami Marlins,Athletics,Moneyline,Miami Marlins,,119,1.0,,,A,25,,,,False,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-128,,,,,,,22.95,,,,,9.0,win,,1.19,2026-07-02.v10-audit1,5434f34b7e8232a7091f0e3efdd4a175
2026-07-05,2026-07-05T16:14:45.188096+00:00,2026-07-05T20:00:00Z,MLB,San Francisco Giants,Colorado Rockies,Moneyline,Colorado Rockies,,100,1.5,"Elite sharp signal (no price edge, so not 2u)",sharp,S,34,34,68,6199,True,True,2.2,False,,0.4773345302216894,0.47799865981684164,pinnacle,28,105,-114,106,114,0.4764,,,,,,,,,,,,,,,,,,104,105,Pinnacle,,,,,,,,,,0.485,0.48,0.49,-0.0158,polymarket,-0.0158,100,0.4773345302216894,pinnacle,,2026-07-05T16:14:45.188096+00:00,0,,0.0,-4.53,False,,,3.75,win,,1.5,2026-07-04.v13-research1,a2dde9d9ca56dc238d564ace87b244f0
2026-07-06,2026-07-06T23:32:08.082906+00:00,2026-07-06T23:46:00Z,mlb,Milwaukee Brewers,St. Louis Cardinals,Moneyline,Milwaukee Brewers,,-124,0.0,,,D,6,75,81,14999,False,False,-8.6,False,-0.055830119110148124,0.5226654697783109,0.5220013401831584,pinnacle,28,-114,105,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,-125,0.524955407254382,pinnacle,,2026-07-06T23:44:45.835709+00:00,1,,0.36,-5.17,True,True,sharp,0.23,win,,0.0,2026-07-04.v13-research1,e5295ada7ac0d16be6bf67d6a4a2923b
2026-07-06,2026-07-06T23:32:08.082906+00:00,2026-07-07T01:41:00Z,mlb,Arizona Diamondbacks,San Diego Padres,Moneyline,San Diego Padres,,-130,0.0,,,D,7,74,81,11521,False,True,2.7,False,-0.04393563947120671,0.540384203777144,0.539285269580376,pinnacle,28,-122,113,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,-118,0.5168715068812907,pinnacle,,2026-07-07T17:22:38.644980+00:00,2,,-4.23,-8.55,True,True,sharp,2.15,loss,,-0.0,2026-07-04.v13-research1,d1ba74caa5492c9e300650c9ba7bebab
2026-07-07,2026-07-07T17:22:38.645923+00:00,2026-07-07T18:16:00Z,mlb,Milwaukee Brewers,St. Louis Cardinals,Moneyline,Milwaukee Brewers,,-230,0.0,,,D,9,78,87,1055,False,True,3.4,False,-0.04398113394433567,0.6663161793721297,0.6612108412530799,pinnacle,27,-208,189,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,-230,0.6663161793721297,pinnacle,,2026-07-07T17:22:38.645923+00:00,0,,0.0,-4.4,False,True,sharp,0.89,win,,0.0,2026-07-04.v13-research1,6611ecd500747b1f1aebe1ea49f9d00a
2026-07-07,2026-07-07T17:22:38.645923+00:00,2026-07-07T22:36:00Z,mlb,Chicago Cubs,Baltimore Orioles,Moneyline,Chicago Cubs,,-113,0.0,,,D,7,68,75,6361,False,True,2.8,False,-0.043809535580379366,0.5072747534244936,0.5070731362286036,pinnacle,28,-107,-101,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,107,0.46175768651594523,pinnacle,,2026-07-08T16:44:08.880582+00:00,1,,-8.94,-12.96,True,True,sharp,5.22,win,,0.0,2026-07-04.v13-research1,a250fe250560caa8b56cd4e061c8e7b0
2026-07-07,2026-07-07T17:22:38.645923+00:00,2026-07-07T22:41:00Z,mlb,Atlanta Braves,Pittsburgh Pirates,Moneyline,Atlanta Braves,,125,0.0,,,B,13,40,53,6028,False,True,2.0,False,-0.0496887903474873,0.42236053762333897,0.42454650714010034,pinnacle,28,131,-142,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,-102,0.4819819753963075,pinnacle,,2026-07-08T16:44:08.880600+00:00,2,,13.61,8.45,True,True,sharp,5.31,loss,,-0.0,2026-07-04.v13-research1,e38e52ed47e9148a67603013c94f7295
2026-07-07,2026-07-07T17:22:38.645923+00:00,2026-07-07T22:41:00Z,mlb,Seattle Mariners,Miami Marlins,Moneyline,Miami Marlins,,-130,0.0,,,D,30,57,87,6941,False,True,2.0,False,-0.051550454820892155,0.5360801777099305,0.5350803043110736,pinnacle,28,-120,111,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,107,0.46069134939153067,pinnacle,,2026-07-08T16:44:08.880609+00:00,2,,-14.53,-18.49,True,True,sharp,5.31,win,,0.0,2026-07-04.v13-research1,157306fb8124249fa8e55016561ce711
2026-07-07,2026-07-07T17:22:38.645923+00:00,2026-07-07T22:46:00Z,mlb,Houston Astros,Washington Nationals,Moneyline,Washington Nationals,,-122,0.0,,,D,12,58,70,6270,False,True,1.9,False,-0.04062652505756703,0.5272232610044001,0.526440410418311,pinnacle,28,-116,107,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,-121,0.5261099052623018,pinnacle,,2026-07-07T22:36:56.350219+00:00,1,,-0.37,-4.27,True,True,sharp,5.39,win,,0.0,2026-07-04.v13-research1,a11dc5b41df437e869c4abe72abced1f
